Ntot,NbProc,Pi,Time,SpeedUp
50000,1,3.14328,6,0.8333333333333334
50000,1,3.13392,3,1.0
50000,1,3.1384,3,0.6666666666666666
50000,1,3.13728,3,0.6666666666666666
50000,1,3.14096,3,0.3333333333333333
50000,1,3.14752,3,0.6666666666666666
50000,1,3.13696,2,1.0
50000,1,3.1564,3,0.6666666666666666
50000,1,3.14096,2,1.0
50000,1,3.13872,2,1.5
50000,2,3.13408,2,1.0
50000,2,3.13232,1,2.0
50000,2,3.13384,1,2.0
50000,2,3.12232,2,1.0
50000,2,3.1408,1,2.0
50000,2,3.13248,1,2.0
50000,2,3.1428,1,2.0
50000,2,3.14984,1,2.0
50000,2,3.14904,1,2.0
50000,2,3.14704,2,1.0
50000,3,3.14072,1,2.0
50000,3,3.14592,1,2.0
50000,3,3.1384,8,0.5
50000,3,3.13736,2,1.0
50000,3,3.13464,1,1.0
50000,3,3.14192,4,0.25
50000,3,3.12968,1,2.0
50000,3,3.14592,0,0.0
50000,3,3.14536,1,2.0
50000,3,3.152,1,2.0
50000,4,3.14896,2,1.0
50000,4,3.14128,1,2.0
50000,4,3.15016,1,2.0
50000,4,3.1408,1,2.0
50000,4,3.13816,1,2.0
50000,4,3.13784,1,2.0
50000,4,3.1532,1,2.0
50000,4,3.13832,1,2.0
50000,4,3.13752,1,2.0
50000,4,3.14008,1,2.0
50000,5,3.12568,1,2.0
50000,5,3.14272,2,1.0
50000,5,3.13768,2,1.0
50000,5,3.14688,2,0.5
50000,5,3.14792,1,1.0
50000,5,3.134,1,2.0
50000,5,3.13696,2,1.0
50000,5,3.14888,0,0.0
50000,5,3.14472,3,0.6666666666666666
50000,5,3.1496,3,0.6666666666666666
50000,6,3.12768,3,0.6666666666666666
50000,6,3.14856,3,0.6666666666666666
50000,6,3.14488,5,0.4
50000,6,3.13384,1,2.0
50000,6,3.1384,4,0.5
50000,6,3.13744,5,0.2
50000,6,3.14392,3,0.6666666666666666
50000,6,3.13936,1,2.0
50000,6,3.14392,4,0.75
50000,6,3.13896,2,1.0
50000,7,3.13104,1,4.0
50000,7,3.13184,1,5.0
50000,7,3.15,1,4.0
50000,7,3.1464,2,2.0
50000,7,3.14656,1,4.0
50000,7,3.14656,3,1.3333333333333333
50000,7,3.13432,2,2.5
50000,7,3.13152,1,4.0
50000,7,3.15536,7,0.5714285714285714
50000,7,3.13728,12,0.08333333333333333
50000,8,3.14864,3,0.6666666666666666
50000,8,3.15224,1,2.0
50000,8,3.1436,2,0.5
50000,8,3.1424,2,0.5
50000,8,3.13352,2,0.5
50000,8,3.14576,1,2.0
50000,8,3.13352,1,3.0
50000,8,3.13208,4,0.5
50000,8,3.14856,4,0.25
50000,8,3.13536,1,1.0
